stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
input_y8,8,sign-extend,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
input_y8,13,zero-fill,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
input_y8,13,sign-extend,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
input_y8,16,zero-fill,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
input_y8,16,sign-extend,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,64,NA,NA,NA,NA,-257,257,row-major
c1,8,sign-extend,OUT_OF_RANGE,64,NA,NA,NA,NA,-257,257,row-major
c1,13,zero-fill,VALID,64,0000004E,0002C9B6,0002C9B6,004AECDD,-257,257,row-major
c1,13,sign-extend,VALID,64,0000004E,000009B6,000009B6,0001CCDD,-257,257,row-major
c1,16,zero-fill,VALID,64,0000004E,001609B6,001609B6,024ACCDD,-257,257,row-major
c1,16,sign-extend,VALID,64,0000004E,000009B6,000009B6,0001CCDD,-257,257,row-major
c2,8,zero-fill,OUT_OF_RANGE,64,NA,NA,NA,NA,-257,257,row-major
c2,8,sign-extend,OUT_OF_RANGE,64,NA,NA,NA,NA,-257,257,row-major
c2,13,zero-fill,VALID,64,00000056,00034496,00034496,0061F66E,-257,257,row-major
c2,13,sign-extend,VALID,64,00000056,00000496,00000496,0000D66E,-257,257,row-major
c2,16,zero-fill,VALID,64,00000056,001A0496,001A0496,0309D66E,-257,257,row-major
c2,16,sign-extend,VALID,64,00000056,00000496,00000496,0000D66E,-257,257,row-major
ll1,8,zero-fill,OUT_OF_RANGE,16,NA,NA,NA,NA,64,184,row-major
ll1,8,sign-extend,OUT_OF_RANGE,16,NA,NA,NA,NA,64,184,row-major
ll1,13,zero-fill,VALID,16,000000F0,000007D6,000007D6,0000421E,64,184,row-major
ll1,13,sign-extend,VALID,16,000000F0,000007D6,000007D6,0000421E,64,184,row-major
ll1,16,zero-fill,VALID,16,000000F0,000007D6,000007D6,0000421E,64,184,row-major
ll1,16,sign-extend,VALID,16,000000F0,000007D6,000007D6,0000421E,64,184,row-major
recon_y8,8,zero-fill,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
recon_y8,8,sign-extend,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
recon_y8,13,zero-fill,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
recon_y8,13,sign-extend,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
recon_y8,16,zero-fill,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
recon_y8,16,sign-extend,VALID,64,00000070,00001FC0,00001FC0,00041590,0,255,row-major
