stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
input_y8,8,sign-extend,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
input_y8,13,zero-fill,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
input_y8,13,sign-extend,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
input_y8,16,zero-fill,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
input_y8,16,sign-extend,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,256,NA,NA,NA,NA,-263,257,row-major
c1,8,sign-extend,OUT_OF_RANGE,256,NA,NA,NA,NA,-263,257,row-major
c1,13,zero-fill,VALID,256,0000007E,000BDF76,000BDF76,050F43DE,-263,257,row-major
c1,13,sign-extend,VALID,256,0000007E,00001F76,00001F76,001803DE,-263,257,row-major
c1,16,zero-fill,VALID,256,0000007E,005E1F76,005E1F76,27D203DE,-263,257,row-major
c1,16,sign-extend,VALID,256,0000007E,00001F76,00001F76,001803DE,-263,257,row-major
c2,8,zero-fill,OUT_OF_RANGE,256,NA,NA,NA,NA,-263,257,row-major
c2,8,sign-extend,OUT_OF_RANGE,256,NA,NA,NA,NA,-263,257,row-major
c2,13,zero-fill,VALID,256,000000CF,000E0A65,000E0A65,0694E651,-263,257,row-major
c2,13,sign-extend,VALID,256,000000CF,00000A65,00000A65,0008C651,-263,257,row-major
c2,16,zero-fill,VALID,256,000000CF,00700A65,00700A65,3469C651,-263,257,row-major
c2,16,sign-extend,VALID,256,000000CF,00000A65,00000A65,0008C651,-263,257,row-major
ll1,8,zero-fill,OUT_OF_RANGE,64,NA,NA,NA,NA,55,190,row-major
ll1,8,sign-extend,OUT_OF_RANGE,64,NA,NA,NA,NA,55,190,row-major
ll1,13,zero-fill,VALID,64,00000074,00001F78,00001F78,0003FFBE,55,190,row-major
ll1,13,sign-extend,VALID,64,00000074,00001F78,00001F78,0003FFBE,55,190,row-major
ll1,16,zero-fill,VALID,64,00000074,00001F78,00001F78,0003FFBE,55,190,row-major
ll1,16,sign-extend,VALID,64,00000074,00001F78,00001F78,0003FFBE,55,190,row-major
recon_y8,8,zero-fill,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
recon_y8,8,sign-extend,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
recon_y8,13,zero-fill,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
recon_y8,13,sign-extend,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
recon_y8,16,zero-fill,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
recon_y8,16,sign-extend,VALID,256,00000060,00007E00,00007E00,003F2C40,0,255,row-major
